distance_cost: 1.0283411825492852, orientation_cost: 24.86551310847064, position_cost: 10.972527351230383, action_diff_cost: 0.7999976079058183, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0273012207911287, orientation_cost: 24.86874615333502, position_cost: 10.968161795288324, action_diff_cost: 0.7999976079058183, action_cost: 0.2000000000000001, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0292793739237351, orientation_cost: 24.862034572957047, position_cost: 10.981336656957865, action_diff_cost: 0.7999976079058183, action_cost: 0.19999999999999996, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.029568325554359, orientation_cost: 24.860798532809124, position_cost: 10.978147696703672, action_diff_cost: 0.7999976079058181, action_cost: 0.2000000000000001, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0293574542699266, orientation_cost: 24.858134839804727, position_cost: 10.99217963591218, action_diff_cost: 0.7999976079058183, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0294523304837728, orientation_cost: 24.859186170973032, position_cost: 10.98702315427363, action_diff_cost: 0.799997607905818, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0296131976613287, orientation_cost: 24.859569656239458, position_cost: 10.98875655978918, action_diff_cost: 0.799997607905818, action_cost: 0.2000000000000001, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0271683278004693, orientation_cost: 24.858184178151912, position_cost: 10.995578907430172, action_diff_cost: 0.7999976079058183, action_cost: 0.2000000000000001, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0289827433876646, orientation_cost: 24.865085113160738, position_cost: 10.986185401678085, action_diff_cost: 0.7999976079058183, action_cost: 0.19999999999999996, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0286648524493285, orientation_cost: 24.857537048966797, position_cost: 10.994462819769979, action_diff_cost: 0.7999976079058181, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0290943079905304, orientation_cost: 24.860974710454993, position_cost: 10.986535001546144, action_diff_cost: 0.7999976079058183, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0291991417064248, orientation_cost: 24.86010632257361, position_cost: 10.989049032330513, action_diff_cost: 0.799997607905818, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0292829723992754, orientation_cost: 24.861153553660934, position_cost: 10.987759103998542, action_diff_cost: 0.7999976079058183, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0268686917986112, orientation_cost: 24.861034386070706, position_cost: 11.004764905199409, action_diff_cost: 0.7999976079058183, action_cost: 0.2000000000000001, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.028338296421456, orientation_cost: 24.856975746209876, position_cost: 10.996388748288155, action_diff_cost: 0.7999976079058183, action_cost: 0.19999999999999993, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0295163133280913, orientation_cost: 24.861672394293056, position_cost: 10.983696777373552, action_diff_cost: 0.799997607905818, action_cost: 0.2, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0286766395379248, orientation_cost: 24.86085686609317, position_cost: 10.99192389473319, action_diff_cost: 0.7999976079058183, action_cost: 0.2000000000000001, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0288380872373222, orientation_cost: 24.860172942406216, position_cost: 10.991049950942397, action_diff_cost: 0.7999976079058183, action_cost: 0.20003417837723336, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0297792304281348, orientation_cost: 24.862720575017953, position_cost: 10.972712041810155, action_diff_cost: 0.800058886800496, action_cost: 0.20042963067579983, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0303401890430606, orientation_cost: 24.861550722296094, position_cost: 10.9751933272928, action_diff_cost: 0.8007694051856457, action_cost: 0.10000000000000005, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0308588542214159, orientation_cost: 24.857948501709835, position_cost: 10.9616296896711, action_diff_cost: 0.3999987760484266, action_cost: 0.14945300473130427, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.030901170280383, orientation_cost: 24.864538946050928, position_cost: 10.964444924145937, action_diff_cost: 0.5969289021974473, action_cost: 0.21515909893369112, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0273122350367454, orientation_cost: 24.859863761351377, position_cost: 11.013016823679209, action_diff_cost: 0.8544929901971788, action_cost: 0.21884019490149004, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0257896316494743, orientation_cost: 24.850975737443175, position_cost: 11.014637674205005, action_diff_cost: 0.8621793271171149, action_cost: 0.21879048089824168, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0256271079625832, orientation_cost: 24.854562208103662, position_cost: 11.01403992343694, action_diff_cost: 0.8560797479783523, action_cost: 0.17293383235647197, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0259124865024933, orientation_cost: 24.839944518336146, position_cost: 11.001629628706723, action_diff_cost: 0.6706253617430015, action_cost: 0.15615535626015117, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0228556609694066, orientation_cost: 24.851224095457628, position_cost: 11.002964438055642, action_diff_cost: 0.6027840484298502, action_cost: 0.14208855306828624, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.024056704374465, orientation_cost: 24.845543094956593, position_cost: 10.97676143469289, action_diff_cost: 0.5461312657151828, action_cost: 0.13225195960737243, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0177780297391668, orientation_cost: 24.86165037824861, position_cost: 11.009830764494836, action_diff_cost: 0.5050824675488558, action_cost: 0.13088256479062216, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0183490689088817, orientation_cost: 24.858700630674342, position_cost: 10.991359371226281, action_diff_cost: 0.4998509594972298, action_cost: 0.12605155003177737, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0260247900524835, orientation_cost: 24.836815394709976, position_cost: 10.943131737411022, action_diff_cost: 0.4817476601857689, action_cost: 0.11478624390932846, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.018694196963608, orientation_cost: 24.851046493434634, position_cost: 10.931342106312513, action_diff_cost: 0.43491995180845494, action_cost: 0.11643584492620583, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.025334207579156, orientation_cost: 24.81205040675157, position_cost: 10.878306023776531, action_diff_cost: 0.43720216154530994, action_cost: 0.11810324129651857, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0164543602305958, orientation_cost: 24.846838400044383, position_cost: 10.923030892852694, action_diff_cost: 0.44086606726600924, action_cost: 0.2169555822328932, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0216493648508855, orientation_cost: 24.819299372949306, position_cost: 10.846926674246788, action_diff_cost: 0.8374976712096078, action_cost: 0.21411058541063488, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0003939975103084, orientation_cost: 24.855881977416836, position_cost: 11.065741145983338, action_diff_cost: 0.8262236996226604, action_cost: 0.20865786314525803, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.006873635676689, orientation_cost: 24.845115947674252, position_cost: 10.946553728543222, action_diff_cost: 0.8041767282253208, action_cost: 0.19065235505967104, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0018546040609846, orientation_cost: 24.83991502557902, position_cost: 10.97345913015306, action_diff_cost: 0.733073904016297, action_cost: 0.17967459925146534, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0036212843283232, orientation_cost: 24.839187737505053, position_cost: 10.903674957342446, action_diff_cost: 0.6896908390579958, action_cost: 0.1753065461478709, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0028775699332033, orientation_cost: 24.837556465893858, position_cost: 10.889542568009347, action_diff_cost: 0.6733020844048705, action_cost: 0.17403205988277679, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0048701345111752, orientation_cost: 24.836535779728212, position_cost: 10.854848596034572, action_diff_cost: 0.668189811194125, action_cost: 0.16961429277593396, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0051257912393319, orientation_cost: 24.83407748804503, position_cost: 10.82807674491778, action_diff_cost: 0.6509454894262862, action_cost: 0.1710447002330344, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.000788224721025, orientation_cost: 24.837690065678363, position_cost: 10.837280477397144, action_diff_cost: 0.6566961034017224, action_cost: 0.17062665066026414, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9993760400419764, orientation_cost: 24.83196712177381, position_cost: 10.840101788751781, action_diff_cost: 0.6546330770158291, action_cost: 0.16302040816326535, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0166502578388306, orientation_cost: 24.831408067560666, position_cost: 10.564942818135023, action_diff_cost: 0.6241306456907263, action_cost: 0.15959014193912857, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.999580955112288, orientation_cost: 24.842268424169625, position_cost: 10.767470236867666, action_diff_cost: 0.610940336351805, action_cost: 0.002019348916037004, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0015285970501728, orientation_cost: 24.82934651242836, position_cost: 10.712441748590209, action_diff_cost: 0.007977188340145729, action_cost: 0.10342489937151336, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
